zip5,perc_unemp,perc_never_married,med_inc,perc_some_coll
01081,8.89,24.5,61447,48.41
01082,11.58,29.46,53362,49.91
01083,9.01,33.14,39833,51.7
01084,8.21,14.88,66250,63.24
01085,7.76,32.71,57374,58.42
01086,0,100,"",100
01088,4.33,14.71,31897,46.76
01089,9.66,33.72,54434,55.53
01092,12.19,20.32,54527,63.7
01093,9.13,32.95,80625,84.36
01094,10.28,25.91,16434,48.08
01095,6.1,22.94,90275,71.95
01096,3.48,21.12,63036,65.94
01097,19.35,52.11,39583,68.42
01098,5.95,14.13,66406,62.14
01103,12.49,56.38,15778,49.32
01104,14.31,40.78,33408,35.77
01105,20.83,59.48,18008,31.58
01106,4.53,22.62,96995,82.55
01107,20.61,54,20484,30
01108,17.76,43.9,36590,48.18
01109,18.05,54.74,32174,38.97
01118,7.26,31.76,61488,57.26
01119,11.58,43.69,47551,47.8
01128,7.85,27.24,79500,60.88
01129,10.7,32.27,60481,53.93
01151,12.77,41.6,32034,44.78
01199,"","","",""
01201,10.42,32.91,42620,55.9
01220,12.19,29.08,40283,47.16
01222,2.43,24.73,54886,56.92
01223,10.69,22.51,46384,60
01224,11.17,34.85,87717,78.42
01225,5.04,26.05,49260,48.98
01226,8.55,28.6,51563,55.99
01229,17.53,0,68958,80
01230,5.07,32.78,52305,62.52
01235,8.53,23.04,62446,55.02
01236,13.86,29.28,52083,75.27
01237,8.9,28.16,66136,54.91
01238,9.98,31.04,54155,64.23
01240,12.58,28.97,51154,67.81
01242,0,38.79,113846,75.12
01243,5.62,18.57,82778,45.12
01244,0,25.86,29444,59.48
01245,10.2,19.89,53333,65.87
01247,9.66,40.14,39214,46.6
01253,7.82,19.7,58750,67.96
01254,5.22,24.49,94766,75.34
01255,6.53,26.44,62708,51.33
01256,3.72,23.46,57000,45.53
01257,3.67,28.68,65080,65.21
01258,1.93,21.38,62981,76.62
01259,9.73,20.57,67500,69.86
01260,10.99,45.86,70833,39.84
01262,4.89,34.42,33000,60.9
01264,3.8,26.47,71875,65.55
01266,4.87,25.27,69769,67.71
01267,6.92,38.96,73042,75.84
01270,2.42,22.19,74500,69.3
01301,8.47,35.54,48442,58.36
01330,7.11,26.7,70870,73.91
01331,12.44,30.21,51488,44.97
01337,7.57,25.18,49659,57.68
01338,2.61,16.57,91250,87.1
01339,10.32,27.74,49271,54.99
01340,7.89,26.7,54632,56.28
01341,7.6,22.32,76818,77.81
01342,1.74,25.27,96622,88.41
01343,0,12.68,47083,27.42
01344,13.24,29.51,53182,48.09
01346,7.33,20.21,71250,60.41
01347,0,40.43,29485,29.07
01349,5.83,31.54,52500,60.23
01350,9.59,33.33,37083,44.05
01351,6.5,24.57,58403,62.83
01354,4.11,25.33,67375,60.78
01355,7.41,23.53,63036,80.48
01360,5.08,24.04,62292,72.37
01364,14.77,25.64,43470,46.68
01366,7.86,31.09,75694,72.04
01367,11.67,18.31,47500,60.61
01368,9.54,27.9,58359,50.75
01370,7.36,24.14,58571,67.82
01373,5.98,27.49,59821,70.05
01375,2.54,50.88,53938,80.92
01376,11,31.08,39615,55.14
01378,5.88,21.32,59750,60.94
01379,9.26,39.17,53594,65.33
01420,11.63,38.44,47421,49.09
01430,7.4,27.11,81690,66.14
01431,4.09,22.91,75435,60.73
01432,11.46,25.37,58519,66.46
01434,25.39,50.26,101000,42.89
01436,7.54,31.55,68771,47.26
01438,21.71,33.48,50599,41.79
01440,11.23,31.96,48824,50.37
01450,5.25,23.53,117037,83.8
01451,9.05,23.45,144143,90.28
01452,9.8,26.92,77694,57.59
01453,10.05,32.35,59720,54.57
01460,4.42,23.06,107518,78.91
01462,7.16,25.76,78452,65.34
01463,6.06,26.86,85150,66.5
01464,7.95,37.07,69750,49.51
01467,12.77,37.26,174861,87.93
01468,10.05,23.87,82849,52.16
01469,6.41,23.42,79140,60.45
01473,6.9,27.39,80294,65.55
01474,6.31,25.58,88646,57.81
01475,5.71,24.12,61937,54.75
01501,6.12,28.19,73561,59.95
01503,6.34,24.58,95438,67.1
01504,8.57,32.36,74042,57.62
01505,3.62,29.22,94676,73.97
01506,4.38,20.62,62209,51.57
01507,6.67,21.67,95058,62.98
01510,10.34,32.88,66308,57.93
01515,9.49,29.08,62202,52.14
01516,10.52,21.06,80885,63.49
01518,5.24,22.18,85224,67.12
01519,4.62,29.21,109050,82.63
01520,6.52,22.76,98879,78.07
01521,7.46,26.31,69097,59.43
01522,8.89,26.16,88155,74.83
01523,6.46,35.48,82741,63.31
01524,8.37,30.92,71528,55.56
01525,30.77,72.73,44167,56.36
01527,7.78,27.61,73436,57.34
01529,8.63,33.77,73611,52.71
01531,6.43,26.06,85625,57.67
01532,6.22,22.34,103506,80.41
01534,9.52,25.46,91518,57.45
01535,6.13,24.57,58349,47.28
01536,8.14,31.07,89263,70.16
01537,13.92,39.64,69928,57.5
01540,6.03,25.65,64877,58.36
01541,5.88,24.26,109008,82.9
01542,2.12,30.8,73000,55.3
01543,9.42,26.2,86453,70.63
01545,6.15,25.09,92100,76.52
01550,11,36.84,46955,41.78
01560,8.05,27.2,68917,64.26
01561,9.93,47.78,35761,61.58
01562,9.98,30.36,59359,56.43
01564,3.77,20.92,102847,73.8
01566,5.69,26.4,82171,76.48
01568,8.75,23.33,114528,79.59
01569,7.08,26.59,84861,59.89
01570,10.22,30.79,48822,47.25
01571,8.79,34.69,70513,61.87
01581,4.9,24.43,97535,81.65
01583,7.88,38.74,76750,60.26
01585,9.04,25.16,63333,48.94
01588,9.22,28.35,62299,59.3
01590,2.05,24.73,113967,65.84
01602,6.52,32.96,62421,69.35
01603,10.03,41.29,45184,46.28
01604,11.81,35.78,50348,57.27
01605,9.59,43,36147,51.82
